LoanId,MaxDPD
92227466,-3
92224108,0
92224159,1
92224272,115
92227022,4
92254633,75
92227546,111
92206098,0
92212313,1
92212321,131
92231885,-8
92231922,-17
92231934,0
92232016,0
92232038,1
92232055,-2
92214741,128
92214750,-6
92214801,2
92214824,-1
92231113,1
92231122,-12
92231189,-1
92231221,0
92231257,5
92231266,1
92250963,-27
92250970,80
92250991,4
92223873,115
92226725,112
92226772,3
92244660,0
92244753,-24
92244887,82
92244907,-22
92244916,7
92220530,120
92217358,2
92217392,122
92217399,124
92217425,-1
92252710,14
92252756,-3
92252766,78
92252813,-58
92252850,2
92252925,0
92254400,76
92254406,-21
92214584,0
92214643,-9
92217092,-22
92217094,0
92217177,33
92217193,-24
92217195,124
92217261,-7
92217268,-7
92217308,0
92217309,-6
92217363,-23
92226879,4
92226891,0
92226902,39
92226969,0
92238669,-1
92238708,0
92238963,0
92215044,-1
92215102,0
92215113,128
92240288,-10
92200481,131
92222703,-19
92222724,116
92222794,-15
92222812,116
92229877,-1
92229883,-2
92229891,2
92229970,77
92230009,107
92252961,-17
92253230,2
92211768,0
92211802,0
92252652,78
92252684,-2
92254060,0
92254111,-12
92246547,37
92246727,-7
92254342,-27
92254343,76
92252461,-2
92252491,19
92252505,2
92230595,-27
92230601,8
92230632,6
92230639,77
92221356,0
92221396,1
92243799,-4
92243802,-18
92243814,83
92243869,-24
92243916,84
92246003,4
92215530,127
92245993,82
92230535,2
92230537,2
92230575,0
92208199,-3
92217449,124
92217528,103
92217799,-4
92217836,2
92222998,3
92223035,0
92223043,0
92223048,-24
92223058,3
92223073,0
92231121,-1
92231149,2
92231150,106
92231182,105
92231190,-1
92231194,106
92231204,2
92231214,1
92231225,-10
92231287,3
92231327,-1
92216178,0
92232835,-9
92232932,-21
92207722,0
92207823,24
92207841,112
92234587,-11
92234616,2
92234632,-14
92234634,-14
92234635,-2
92234639,-4
92234670,-14
92234671,0
92234853,-3
92249687,81
92249692,0
92249720,-14
92249739,8
92233983,49
92233987,3
92234146,0
92234153,0
92234155,-5
92234246,-1
92234253,100
92224878,0
92224935,-8
92224949,-1
92224964,-15
92225193,-19
92252056,-5
92252079,3
92252139,-5
92252179,0
92252253,2
92252302,2
92252368,3
92252384,-12
92252400,76
92252401,1
92252408,-4
92223878,115
92223881,115
92223899,7
92223904,-8
92223912,-7
92223946,2
92223969,115
