address,ID,First_Due_Date,First_Payment_Month,DisbursementMonth,DisbursementDate,loanamount,LOANNAME,totaldue,TERM,Paidflag
FCT,92001647,2021-03-12,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
FCT,92001651,2021-03-10,2021-03-01,2021-02-01,2021-02-18,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92001655,2021-03-10,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92001682,2021-03-10,2021-03-01,2021-02-01,2021-02-10,17000.0000000000,"Nano Loan - NTB Final",5100.00,3,paidin7
Osun,92001683,2021-03-10,2021-03-01,2021-02-01,2021-02-23,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
FCT,92001687,2021-03-12,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Lagos,92001689,2021-03-10,2021-03-01,2021-02-01,2021-02-10,12400.0000000000,"Nano Loan - NTB Final",3720.00,3,paidin7
Lagos,92001692,2021-04-12,2021-04-01,2021-02-01,2021-02-10,6000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Kaduna,92001698,2021-03-22,2021-03-01,2021-02-01,2021-02-21,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92001730,2021-03-10,2021-03-01,2021-02-01,2021-02-10,10900.0000000000,"Nano Loan - NTB Final",3270.00,3,paidin7
FCT,92001749,2021-03-12,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Lagos,92001752,2021-04-07,2021-04-01,2021-03-01,2021-03-08,15000.0000000000,"Nano Loan - NTB Final",4500.00,3,paidin14
Lagos,92001765,2021-03-12,2021-03-01,2021-02-01,2021-02-11,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Kano,92001769,2021-03-12,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Lagos,92001813,2021-03-10,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Oyo,92001814,2021-04-04,2021-04-01,2021-03-01,2021-03-04,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Lagos,92001852,2021-03-10,2021-03-01,2021-02-01,2021-02-10,9600.0000000000,"Nano Loan - NTB Final",2880.00,3,paidin7
FCT,92001897,2021-05-14,2021-05-01,2021-05-01,2021-05-11,20000.0000000000,"Nano Loan - NTB Final",600.00,3,"not paid"
Lagos,92001905,2021-04-07,2021-04-01,2021-03-01,2021-03-08,20000.0000000000,"Nano Loan - NTB Final",10000.00,3,paidin30
Edo,92001910,2021-04-08,2021-04-01,2021-03-01,2021-03-08,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92001926,2021-03-10,2021-03-01,2021-02-01,2021-02-10,13000.0000000000,"Nano Loan - NTB Final",3900.00,3,paidin7
Kaduna,92001933,2021-03-13,2021-03-01,2021-02-01,2021-02-11,7300.0000000000,"Nano Loan - NTB Final",2117.00,3,"not paid"
Lagos,92001951,2021-04-08,2021-04-01,2021-03-01,2021-03-09,10000.0000000000,"Nano Loan - NTB Final",3000.00,3,"not paid"
Lagos,92001954,2021-03-10,2021-03-01,2021-02-01,2021-02-13,10400.0000000000,"Nano Loan - NTB Final",2808.00,3,paidin7
Lagos,92001957,2021-03-10,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92001993,2021-03-13,2021-03-01,2021-02-01,2021-02-11,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Rivers,92002069,2021-03-10,2021-03-01,2021-02-01,2021-02-13,7100.0000000000,"Nano Loan - NTB Final",1917.00,3,paidin7
Lagos,92002080,2021-03-12,2021-03-01,2021-02-01,2021-02-10,12800.0000000000,"Nano Loan - NTB Final",3840.00,3,paidin30
FCT,92002088,2021-03-10,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92002115,2021-03-10,2021-03-01,2021-02-01,2021-02-12,12100.0000000000,"Nano Loan - NTB Final",3388.00,3,paidin7
FCT,92002122,2021-03-21,2021-03-01,2021-02-01,2021-02-19,7000.0000000000,"Nano Loan - NTB Final",1470.00,3,paidin30
Lagos,92002129,2021-03-10,2021-03-01,2021-02-01,2021-02-11,12900.0000000000,"Nano Loan - NTB Final",3741.00,3,paidin7
Lagos,92002143,2021-05-21,2021-05-01,2021-05-01,2021-05-11,16700.0000000000,"Nano Loan - NTB Final",1670.00,3,paidin7
Lagos,92002171,2021-03-11,2021-03-01,2021-02-01,2021-02-11,15000.0000000000,"Nano Loan - NTB Final",4500.00,3,paidin7
"Akwa Ibom",92002172,2021-03-11,2021-03-01,2021-02-01,2021-02-23,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92002190,2021-05-12,2021-05-01,2021-04-01,2021-04-12,7200.0000000000,"Nano Loan - NTB Final",1512.00,3,paidin7
FCT,92002205,2021-03-13,2021-03-01,2021-02-01,2021-02-11,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Oyo,92002212,2021-03-11,2021-03-01,2021-02-01,2021-02-12,6800.0000000000,"Nano Loan - NTB Final",1972.00,3,paidin7
FCT,92002214,2021-03-15,2021-03-01,2021-02-01,2021-02-14,8900.0000000000,"Nano Loan - NTB Final",2403.00,3,paidin7
Lagos,92002221,2021-04-12,2021-04-01,2021-02-01,2021-02-11,7500.0000000000,"Nano Loan - NTB Final",7500.00,3,paidin7
Lagos,92002222,2021-04-08,2021-04-01,2021-03-01,2021-03-09,10000.0000000000,"Nano Loan - NTB Final",3000.00,3,"not paid"
Lagos,92002241,2021-03-11,2021-03-01,2021-02-01,2021-02-11,10000.0000000000,"Nano Loan - NTB Final",3000.00,3,paidin7
Lagos,92002243,2021-03-11,2021-03-01,2021-02-01,2021-02-11,16900.0000000000,"Nano Loan - NTB Final",5070.00,3,paidin7
Rivers,92002248,2021-03-13,2021-03-01,2021-02-01,2021-02-11,8300.0000000000,"Nano Loan - NTB Final",2490.00,3,"not paid"
Kaduna,92002260,2021-03-11,2021-03-01,2021-02-01,2021-02-11,15600.0000000000,"Nano Loan - NTB Final",4680.00,3,paidin7
Rivers,92002265,2021-03-11,2021-03-01,2021-02-01,2021-02-11,12500.0000000000,"Nano Loan - NTB Final",3750.00,3,paidin7
Rivers,92002280,2021-03-13,2021-03-01,2021-02-01,2021-02-11,10400.0000000000,"Nano Loan - NTB Final",3120.00,3,"not paid"
Lagos,92002284,2021-03-13,2021-03-01,2021-02-01,2021-02-11,11700.0000000000,"Nano Loan - NTB Final",4899.28,3,"not paid"
Lagos,92002291,2021-03-11,2021-03-01,2021-02-01,2021-02-17,6000.0000000000,"Nano Loan - NTB Final",1800.00,3,paidin7
Lagos,92002301,2021-04-08,2021-04-01,2021-03-01,2021-03-09,17200.0000000000,"Nano Loan - NTB Final",344.00,3,"not paid"
Lagos,92002318,2021-03-11,2021-03-01,2021-02-01,2021-02-11,6000.0000000000,"Nano Loan - NTB Final",1800.00,3,paidin7
Rivers,92002368,2021-03-11,2021-03-01,2021-02-01,2021-02-11,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92002383,2021-03-12,2021-03-01,2021-02-01,2021-02-12,10000.0000000000,"Nano Loan - NTB Final",3000.00,3,paidin7
"Akwa Ibom",92002398,2021-03-27,2021-03-01,2021-02-01,2021-02-25,12200.0000000000,"Nano Loan - NTB Final",1952.00,3,paidin7
Edo,92002417,2021-05-17,2021-05-01,2021-05-01,2021-05-11,6800.0000000000,"Nano Loan - NTB Final",408.00,3,"not paid"
